scenario,time,resident,x,z,speed,reason
narrow,8.50,1,-4.264,0.593,1.466,우회: Resident_01
narrow,8.75,0,-3.385,-0.604,0.000,경로 이동
narrow,8.75,1,-4.570,0.427,1.336,우회: Resident_01
narrow,9.00,0,-3.385,-0.604,0.000,경로 이동
narrow,9.00,1,-4.751,0.171,1.234,우회: Resident_01
narrow,9.25,0,-3.349,-0.544,0.443,경로 이동
narrow,9.25,1,-4.783,-0.130,1.224,우회: Resident_01
narrow,9.50,0,-3.186,-0.460,0.961,경로 이동
narrow,9.50,1,-4.702,-0.431,1.184,경로 이동
narrow,9.75,0,-2.877,-0.390,1.380,경로 이동
narrow,9.75,1,-4.522,-0.621,0.936,경로 이동
narrow,10.00,0,-2.538,-0.328,1.380,경로 이동
narrow,10.00,1,-4.324,-0.663,0.788,경로 이동
narrow,10.25,0,-2.199,-0.266,1.380,경로 이동
narrow,10.25,1,-4.139,-0.571,0.903,경로 이동
narrow,10.50,0,-1.859,-0.204,1.380,경로 이동
narrow,10.50,1,-4.012,-0.341,1.169,경로 이동
narrow,10.75,0,-1.520,-0.141,1.380,경로 이동
narrow,10.75,1,-3.990,-0.090,0.785,경로 이동
narrow,11.00,0,-1.179,-0.090,1.380,경로 이동
narrow,11.00,1,-3.986,0.012,0.160,경로 이동
narrow,11.25,0,-0.835,-0.066,1.380,경로 이동
narrow,11.25,1,-3.986,0.014,0.000,도착
narrow,11.50,0,-0.490,-0.062,1.380,경로 이동
narrow,11.50,1,-3.986,0.014,0.000,도착
narrow,11.75,0,-0.145,-0.057,1.380,경로 이동
narrow,11.75,1,-3.986,0.014,0.000,도착
narrow,12.00,0,0.200,-0.052,1.380,경로 이동
narrow,12.00,1,-3.986,0.014,0.000,도착
narrow,12.25,0,0.545,-0.047,1.380,경로 이동
narrow,12.25,1,-3.986,0.014,0.000,도착
narrow,12.50,0,0.890,-0.043,1.380,경로 이동
narrow,12.50,1,-3.986,0.014,0.000,도착
narrow,12.75,0,1.235,-0.038,1.380,경로 이동
narrow,12.75,1,-3.986,0.014,0.000,도착
narrow,13.00,0,1.580,-0.033,1.380,경로 이동
narrow,13.00,1,-3.986,0.014,0.000,도착
narrow,13.25,0,1.925,-0.029,1.380,경로 이동
narrow,13.25,1,-3.986,0.014,0.000,도착
narrow,13.50,0,2.270,-0.024,1.380,경로 이동
narrow,13.50,1,-3.986,0.014,0.000,도착
narrow,13.75,0,2.615,-0.019,1.380,경로 이동
narrow,13.75,1,-3.986,0.014,0.000,도착
narrow,14.00,0,2.960,-0.014,1.380,경로 이동
narrow,14.00,1,-3.986,0.014,0.000,도착
narrow,14.25,0,3.305,-0.010,1.380,경로 이동
narrow,14.25,1,-3.986,0.014,0.000,도착
narrow,14.50,0,3.649,-0.005,1.378,경로 이동
narrow,14.50,1,-3.986,0.014,0.000,도착
narrow,14.75,0,3.900,-0.001,0.753,경로 이동
narrow,14.75,1,-3.986,0.014,0.000,도착
narrow,15.00,0,3.994,0.000,0.128,경로 이동
narrow,15.00,1,-3.986,0.014,0.000,도착
close_start,0.00,0,-0.460,0.000,0.000,느긋함: 잠시 양보
