time,state,pelvisY,headY,pelvisVelocity,headVelocity,forwardSpeed
1.275000,Walking,0.5092583,1.1390020,-1.0048200,-1.0050200,1.1500000
1.279167,Walking,0.5050478,1.1347900,-1.0105280,-1.0108570,1.1500000
1.283333,Walking,0.5024355,1.1321770,-0.6269503,-0.6273079,1.1500000
1.287500,Walking,0.5017684,1.1315080,-0.1601171,-0.1604176,1.1500000
1.291667,Walking,0.5004585,1.1301980,-0.3143549,-0.3145123,1.1500000
1.295833,Walking,0.4991257,1.1288640,-0.3198767,-0.3200054,1.1500000
1.300000,Walking,0.4977672,1.1275060,-0.3260565,-0.3260994,1.1500000
1.304167,Walking,0.4963792,1.1261170,-0.3331161,-0.3332233,1.1500000
1.308333,Walking,0.4949591,1.1246960,-0.3408194,-0.3410053,1.1500000
1.312500,Walking,0.4935040,1.1232400,-0.3492236,-0.3494740,1.1500000
1.316667,Walking,0.4920103,1.1217450,-0.3584790,-0.3588295,1.1500000
1.320833,Walking,0.4904749,1.1202080,-0.3684998,-0.3689575,1.1500000
1.325000,Walking,0.4916165,1.1213470,0.2739859,0.2733707,1.1500000
1.329167,Walking,0.4926918,1.1224190,0.2580643,0.2573204,1.1500000
1.333333,Walking,0.4937046,1.1234290,0.2430725,0.2423286,1.1500000
1.337500,Walking,0.4946587,1.1243800,0.2289820,0.2283955,1.1500000
1.341667,Walking,0.4955582,1.1252780,0.2158856,0.2155495,1.1500000
1.345833,Walking,0.4964058,1.1261260,0.2034259,0.2034473,1.1500000
1.350000,Walking,0.4972064,1.1269290,0.1921320,0.1926327,1.1500000
1.354167,Walking,0.4979631,1.1276900,0.1816106,0.1827335,1.1500000
1.358333,Walking,0.4998429,1.1295770,0.4511690,0.4527569,1.1500000
1.362500,Walking,0.5016624,1.1314040,0.4366636,0.4386520,1.1500000
1.366667,Walking,0.5029160,1.1326680,0.3008795,0.3032112,1.1500000
1.370833,Walking,0.5038882,1.1336510,0.2333307,0.2360058,1.1500000
